Post ID,Title,URL,Classification,Companies,Error
j57fsy1ypex5rmbepb387thrcd80avh3,"The Ultimate Toll-Bridge: Why TFS Owns the ""Golden Hour"" of Indian Aviation ",https://dhruva.substack.com/p/the-ultimate-toll-bridge-why-tfs,Company_analysis,TRAVEL FOOD SERVICES,
j572h86vxg6myvwqz3arbst6a1809wxw,Why private capex in India is still not picking up? | Who said what? S2E28,https://thedailybrief.zerodha.com/p/why-private-capex-in-india-is-still,Multiple_company_analysis,ULTRATECH CEMENT, JSW STEEL,
j572p8e0kt7777ynew4twyhccn8092y1,Investment Analysis: Ather Energy,https://pkeday.substack.com/p/investment-analysis-ather-energy,Company_analysis,ATHER ENERGY,
j577z1q3raawecsbppz3zc84jd8094de,Hindustan Copper: Powering India’s Copper Story,https://pawealth.in/hindustan-copper-powering-indias-copper-story/,Company_analysis,HINDUSTAN COPPER,
j577d25hz90hzf11da6xqwwzmx8068rt,Uniparts India: A Good Business in a Bad Phase,https://zennivesh.substack.com/p/uniparts-india-a-good-business-in,Company_analysis,UNIPARTS INDIA,
j573f73wrngzcedgjq58p7ydrn8068bp,Venus Remedies Q3 FY26 Result Update,https://91capital.substack.com/p/venus-remedies-q3-fy26-result-update,Company_analysis,VENUS REMEDIES,
j578w4s2cz0g8cc6kjqav3m7xx803mac,"[Stock note]: Madhusudan Masala…30% CAGR Plan, Capacity Expansion & Margins",https://katalystwealth.com/2026/01/28/stock-note-madhusudan-masala-30-cagr-plan-capacity-expansion-margins/,Company_analysis,MADHUSUDAN MASALA,
j5761vz0cz1y8rf1rpyrt8hrfs8035p5,The Holy Grail is Alive and Kicking (Even if the Market isn't),https://betatoalpha.substack.com/p/the-holy-grail-is-alive-and-kicking,Multiple_company_analysis,THANGAMAYIL JEWELLERY,
j570g8ss6yhnxmq5hj76ykqpvn800b1p,The world hunts for copper,https://thedailybrief.zerodha.com/p/the-world-hunts-for-copper,Sector_analysis,HINDUSTAN COPPER,
j575kbar5seczvxnc3f3fq6k2n7zzgfh,"Indian QSR Sector Deep Dive: Structural Consolidation, Valuations, and 2036 Projections",https://dhruva.substack.com/p/indian-qsr-sector-deep-dive-structural,Sector_analysis,JUBILANT FOODWORKS, DEVYANI INTERNATIONAL, RESTAURANT BRAND ASIA,
j573p3zt84d830d53ajfp637f57zy96e,The European Pivot: Why the 'Mother of All Deals' Changes Everything for Indian Trade,https://betatoalpha.substack.com/p/the-european-pivot-why-the-mother,Sector_analysis,TATA MOTORS, MAHINDRA & MAHINDRA, MOTHERSON SUMI WRNG IND L, BHARAT FORGE, GOKALDAS EXPORTS, KPR MILL,
j573yq28vk8apgv0ywsfq36dvx7zysg9,Zydus Lifesciences || Consistently Performing Stocks #51,https://compass.finvezto.com/p/zydus-lifesciences-consistently-performing,Company_analysis,ZYDUS LIFESCIENCES,
j57d8qc3njnmbpmvkcsx86vq8x7zyvfn,Is MCX the Next Big Turnaround Story? The BSE Playbook in Action,https://betatoalpha.substack.com/p/is-mcx-the-next-big-turnaround-story,Company_analysis,MULTI COMMODITY EXCHANGE,
j5793pdyyecq0a50m12kmeczfh7zz37q,Brand Concepts: A Deep Dive,https://zennivesh.substack.com/p/brand-concepts-a-deep-dive,Company_analysis,BRAND CONCEPTS,
j57c95e5xq69f0813zx707pzzh7zz7tv,The cycle of capital goods twists and turns,https://thedailybrief.zerodha.com/p/the-cycle-of-capital-goods-twists,Sector_analysis,BHEL, ABB INDIA, HITACHI ENERGY INDIA, LARSEN & TOUBRO,
j579cgnc7q3h64s6y5mr8z7f2x7zpqex,"How to make money from ""Aluminium stocks"" ",https://firstprinciplesinvesting.substack.com/p/how-to-make-money-from-aluminium,Sector_analysis,ASHAPURA MINECHEM, NATIONAL ALUMINIUM CO, VEDANTA, RAIN INDUSTRIES,
j575npewwr1ewksg8djeqahm6s7zpcsr,The Great QSR Consolidation: Arbitrage Opportunity.,https://dhruva.substack.com/p/the-great-qsr-consolidation-arbitrage,Sector_analysis,RESTAURANT BRAND ASIA, DEVYANI INTERNATIONAL, SAPPHIRE FOODS INDIA,
j5780fvcdnn39t6gd944wrh8w97zq0zv,"Om Infra: Weak Quarter, Powerful Outlook",https://deepdivecaps.substack.com/p/om-infra-weak-quarter-powerful-outlook,Company_analysis,OM INFRA,
j573xqgef9n2fh9kwmvf4m0acd7zm7s1,Indian IT tries to fight the rising tide of uncertainty,https://thedailybrief.zerodha.com/p/indian-it-tries-to-fight-the-rising,Multiple_company_analysis,INFOSYS, TATA CONSULTANCY SERV LT, HCL TECHNOLOGIES, TECH MAHINDRA,
j571mmw24r1nmme3cc033vxpn57zk3t1,AI vs. IT Services - Who is winning? (Part 3/3),https://betatoalpha.substack.com/p/ai-vs-it-services-who-is-winning-006,Multiple_company_analysis,TATA CONSULTANCY SERV LT, INFOSYS, WIPRO,
