_id,name,nse_code,bse_code,marketCap,updated_at
"jn78cx2q4n52ekq5cx56ec5q097we54m","INAVAXIS MUTUAL AXIS GOLD E","AXISGOLDINV","199022",,"2025-12-01T04:27:39.406Z"
"jn715ydfb7ppyge1qs82a5neyx7wep0r","INAVQUANTUM GOLDEXCHANGE T","QGOLDLFINV","199028",,"2025-12-01T04:27:39.407Z"
"jn7fs8esxr6z7gab6972a8zsj97wff23","INAVUTI  GOLD EXC","GOLDSHAINV","199029",,"2025-12-01T04:27:39.407Z"
"jn721y2x5dgm01hc1rv7ceygms7wfnzn","INAV ICICI PRUDENTIAL SENSE","ICICSENNAV","199105",,"2025-12-01T04:27:39.407Z"
"jn7631k03b2mhtb8ezqyzt2zan7wfabx","INAV ICICI PRU NIFTY INFRA ETF","ICICINFNAV","199122",,"2025-12-01T04:27:39.407Z"
"jn7dvfbcfjx612pnd8q1dp2m257wfqxe","SATYAM SILK MILLS","ZSATYASL","503893",,"2025-12-01T04:27:39.423Z"
"jn78zbcaft0p8ayzm4t682xrm97wfjnr","CHASE BRIGHT STEEL","CHASBRT","504671",,"2025-12-01T04:27:39.423Z"
"jn78mmeyed8gn287jn5n4qzyqx7weqqb","AUTOMOBILE PRODUCTS OF INDIA L","AUTOPRD","505032",,"2025-12-01T04:27:39.423Z"
"jn745shk5vm7hye57qkg3jb7rs7wfewg","HARIYANA VENTURES","HVL","506024",,"2025-12-01T04:27:39.423Z"
"jn7c0pj6k9jvjyhasf74tq0pvn7wftk9","TERRAFORM MAGNUM","TERRAFORM","506162",,"2025-12-01T04:27:39.423Z"
"jn706dn42rxxgbqdgy7xqh0ve17wepkx","PB GLOBAL","PBGLOBAL","506580",,"2025-12-01T04:27:39.424Z"
"jn7db332jdm3shaqp3xsqjcdw97wf3az","SHIKHAR LEASING & TRADING","SHIKHARLETR","507952",,"2025-12-01T04:27:39.424Z"
"jn745nxcz439xwaynm7dd2kgm17wfndx","OSEASPRE CONSULTANTS","OSEASPR","509782",,"2025-12-01T04:27:39.425Z"
"jn7fpyxe8vy6pz5w02t73ny20n7wfhdx","JUMBO FINANCE","JUMBFNL","511060",,"2025-12-01T04:27:39.425Z"
"jn75ndvp5ypypdr88rar0v4ssd7wecc4","TIVOLI CONSTRUCTION","TVOLCON","511096",,"2025-12-01T04:27:39.425Z"
"jn76r5pve33q65d2gzk0nfhbh97wf8a8","NILKANTH ENGINEERING","ZNILKENG","512004",,"2025-12-01T04:27:39.425Z"
"jn70d7yh9wn4at0cnxnbfmbzyx7wfe1r","KAJAL SYNTHETICS & SILK MILLS","KAJALSY","512147",,"2025-12-01T04:27:39.426Z"
"jn7c01wyhpfcfh3y578ym6efqn7we6xs","TERRAFORM REALSTATE","TERRAREAL","512157",,"2025-12-01T04:27:39.426Z"
"jn70patetw9kdpb0a5fw2htdkh7wexwk","BENTLEY COMMERCIAL ENTERPRISES","BENTCOM","512195",,"2025-12-01T04:27:39.426Z"
"jn7d6j9rkv5dnz8n74n0kvetas7weahy","NIVI TRADING","ZNIVITRD","512245",,"2025-12-01T04:27:39.426Z"
"jn7ass2a1tk2mfa6bazzn1hj617websm","BAJAJ GLOBAL","BAJGLOB","512261",,"2025-12-01T04:27:39.426Z"
"jn7ffhg9cfgden75nqzwksvcqs7wf61j","AVON MERCANTILE","AVONMERC","512265",,"2025-12-01T04:27:39.426Z"
"jn7f1sc4pbmn27dp5hhsm7sp3s7wfb97","MANSOON TRADING CO.LTD.","ZMANSOON","512303",,"2025-12-01T04:27:39.426Z"
"jn7ctskv92k113nj0vznje1rv97wf3a4","WHITE HALL COMMERCIAL CO.LTD.","WHITHAL","512431",,"2025-12-01T04:27:39.426Z"
"jn72w336b2b55mx0jbegm2myx57wenjn","ASUTOSH ENTERPRISES","ASUTENT","512433",,"2025-12-01T04:27:39.426Z"
"jn732nhn34pnjara6axphy2hcn7wf35h","ESQUIRE MONEY GUARANTEES","ESQRMON","512439",,"2025-12-01T04:27:39.426Z"
"jn7b9469h9bgxvz1ysvfssejjx7weyr2","DEVINSU TRADING","DEVITRD","512445",,"2025-12-01T04:27:39.426Z"
