Company Name,NSE Code,BSE Code
"INAVAXIS MUTUAL AXIS GOLD E","AXISGOLDINV","199022"
"INAVQUANTUM GOLDEXCHANGE T","QGOLDLFINV","199028"
"INAVUTI  GOLD EXC","GOLDSHAINV","199029"
"INAV ICICI PRUDENTIAL SENSE","ICICSENNAV","199105"
"INAV ICICI PRU NIFTY INFRA ETF","ICICINFNAV","199122"
"SATYAM SILK MILLS","ZSATYASL","503893"
"CHASE BRIGHT STEEL","CHASBRT","504671"
"AUTOMOBILE PRODUCTS OF INDIA L","AUTOPRD","505032"
"HARIYANA VENTURES","HVL","506024"
"TERRAFORM MAGNUM","TERRAFORM","506162"
"PB GLOBAL","PBGLOBAL","506580"
"SHIKHAR LEASING & TRADING","SHIKHARLETR","507952"
"OSEASPRE CONSULTANTS","OSEASPR","509782"
"JUMBO FINANCE","JUMBFNL","511060"
"TIVOLI CONSTRUCTION","TVOLCON","511096"
"NILKANTH ENGINEERING","ZNILKENG","512004"
"KAJAL SYNTHETICS & SILK MILLS","KAJALSY","512147"
"TERRAFORM REALSTATE","TERRAREAL","512157"
"BENTLEY COMMERCIAL ENTERPRISES","BENTCOM","512195"
"NIVI TRADING","ZNIVITRD","512245"
"BAJAJ GLOBAL","BAJGLOB","512261"
"AVON MERCANTILE","AVONMERC","512265"
"MANSOON TRADING CO.LTD.","ZMANSOON","512303"
"WHITE HALL COMMERCIAL CO.LTD.","WHITHAL","512431"
"ASUTOSH ENTERPRISES","ASUTENT","512433"
"ESQUIRE MONEY GUARANTEES","ESQRMON","512439"
"DEVINSU TRADING","DEVITRD","512445"
"PUNCTUAL TRADING","PUNCTRD","512461"
"MEENAKSHI STEEL INDUSTRIES","MEENST","512505"
"VINAYAK VANIJYA","VINVANI","512517"
"TTL ENTERPRISES","TTLEL","514236"
"ADS DIAGNOSTIC","ADSDIAG","523031"
"MICROSE INDIA","MICROSE","523343"
"PUSHPSONS INDUSTRIES","PUSHPIN","531562"
"UFM INDUSTRIES","UFMINDL","531610"
"VSD CONFIN","VSDCONF","531696"
"SMC CREDITS","SMCREDT","532138"
"KOTAK MAHINDRA MUTUAL FUND","SENSEX1","532985"
"SBI MUTUAL FUND - SBI ETF SENS","SBISENSEX","535276"
"RELIANCE MUTUAL FUND - RELIANC","NCAPBULADD","538591"
"RELIANCE MUTUAL FUND- RELIANCE","NCAPBULADG","538592"
"RELIANCE MUTUAL FUND- RELIANCE","NCAPBUILAD","538593"
"RELIANCE MUTUAL FUND- RELIANCE","NCAPBUILAG","538594"
"RELIANCE MUTUAL FUND - RELIANC","NCAPBULBDD","538630"
"RELIANCE MUTUAL FUND- RELIANCE","NCAPBULBDG","538631"
"RELIANCE MUTUAL FUND- RELIANCE","NCAPBUILBD","538632"
"RELIANCE MUTUAL FUND- RELIANCE","NCAPBUILBG","538633"
"NIPPON INDIA ETF SENSEX","SENSEXBEES","538683"
"SBI MUTUAL FUND","SETFBSE100","539031"
"TIRUPATI FIN-LEASE","TFLL","539488"
"ABHIJIT TRADING CO.","ABHIJIT","539560"
"SHIVKAMAL IMPEX","SHIVKAMAL","539683"
"REAL GROWTH CORPORATION LIMITE","RGCORP","539691"
"BANDHAN MUTUAL FUND","IDFSENSEXE","540154"
"RAIDEEP INDUSTRIES","RAIDEEPIND","540270"
"SUERYAA KNITWEAR","SUERYAAKNI","540318"
"SBI MUTUAL FUND","SETFSN50","541972"
"JYOT INTERNATIONAL MARKETING L","JYOTIN","542544"
"NIPPON INDIA ETF SENSEX NEXT 5","SNXT50BEES","542747"
"VARDHAN CAPITAL & FINANCE LIMI","VARDHANCFL","542931"
"DSPAMC - DSPN50ETF","NIFTY50ADD","543440"
"DSPAMC - DSPBANKETF","BANKETFADD","543738"
"DIGITAL FIBRE INFRASTRUCTURE T","DIGIFIBRE","543859"
"DSPAMC - DSPGOLDETF","GOLDETFADD","543903"
"DSPAMC - DSPITETF","ITETFADD","543935"
"SBI MUTUAL FUND","MHLSRG","544588"
"SBI MUTUAL FUND","MHLSRD","544589"
"SBI MUTUAL FUND","MHLSRDR","544590"
"SBI MUTUAL FUND","MHLSDG","544591"
"SBI MUTUAL FUND","MHLSDD","544592"
"SBI MUTUAL FUND","MHLSDDR","544593"
"TUNI TEXTILE MILLS","TUNTEX-RE","751058"
"A B N INTERCORP","ABNINT-IT",""
"ORIENTAL INFRATRUST","OSEINTRUST-IV",""
"KOTAKMAMC - KTKNV20ETF","NV20",""
"ADDICTIVE LEARNING TECH L","LAWSIKHO-SM",""
