title,link,published,publishedDate,author,summary,categories,thumbnail,wordCount
30% cap on UPI may never be possible,https://growthbug.com/30-cap-on-upi-may-never-be-possible-ddf11f3ec91e?source=rss-8a2f53422ab5------2,"Wed, 01 Jan 2025 13:47:47 GMT",2025-01-01T13:47:47.000Z,Deepak Abbot,,growth; upi; payments; india,,848
India’s Gold Story (Chapter 3): How much gold in India,https://growthbug.com/indias-gold-story-chapter-3-how-much-gold-in-india-f627338421e3?source=rss-8a2f53422ab5------2,"Fri, 01 Sep 2023 13:03:50 GMT",2023-09-01T13:03:50.000Z,Deepak Abbot,,india; fintech; gold; finance,,285
India’s Gold Story (Chapter 2): Kerala and its love for GOLD!!!,https://growthbug.com/indias-gold-story-chapter-2-kerala-and-its-love-for-gold-20b719d4cfdb?source=rss-8a2f53422ab5------2,"Tue, 29 Aug 2023 09:22:22 GMT",2023-08-29T09:22:22.000Z,Deepak Abbot,,kerala; fintech; india; gold,,320
India’s Gold Story (Chapter 1): The Market Size & its YoY growth,https://growthbug.com/indias-gold-story-chapter-1-the-market-size-its-yoy-growth-12cb5a03b7e4?source=rss-8a2f53422ab5------2,"Thu, 24 Aug 2023 10:45:33 GMT",2023-08-24T10:45:33.000Z,Deepak Abbot,,lending; credit; india; technology; gold,,349
Behind the scenes: Why NPCI reversed its flawed decision to curb the UPI growth,https://growthbug.com/behind-the-scenes-why-npci-reversed-its-flawed-decision-to-curb-the-upi-growth-5a6d974f55da?source=rss-8a2f53422ab5------2,"Tue, 06 Dec 2022 02:58:24 GMT",2022-12-06T02:58:24.000Z,Deepak Abbot,,payments; fintech; india; upi,,820
"India’s 100 Unicorns: Ranked by Revenue, Losses, Current Valuation, Revenue Multiple (Updated for…",https://growthbug.com/indias-100-unicorns-ranked-by-revenue-losses-current-valuation-revenue-multiple-5c2c92ae0b38?source=rss-8a2f53422ab5------2,"Sun, 08 May 2022 06:52:33 GMT",2022-05-08T06:52:33.000Z,Deepak Abbot,,india; startup; data; unicorns; technology,,296
An Uber for Asset Backed Loans- is the future of secured lending branchless?,https://growthbug.com/an-uber-for-asset-backed-loans-is-the-future-of-secured-lending-branchless-c09306be3ade?source=rss-8a2f53422ab5------2,"Sun, 10 Apr 2022 08:11:16 GMT",2022-04-10T08:11:16.000Z,Deepak Abbot,,gold; lending; uber; technology; india,,2634
How to calculate Life Time Value (LTV) of your customers correctly,https://growthbug.com/how-to-calculate-life-time-value-of-your-customers-correctly-3d4780fe7e41?source=rss-8a2f53422ab5------2,"Wed, 06 Apr 2022 05:04:58 GMT",2022-04-06T05:04:58.000Z,Deepak Abbot,,retention; customer-lifetime-value; growth; formula; startup,,441
Why can’t we make revenue generating apps? India contributes less than 1% of global in-app revenues,https://growthbug.com/why-cant-we-make-better-apps-india-contributes-less-than-1-of-global-revenues-ae333362ce41?source=rss-8a2f53422ab5------2,"Tue, 15 Mar 2022 11:53:30 GMT",2022-03-15T11:53:30.000Z,Deepak Abbot,,apple; apps; gaming; android,,820
Here are ESOP taxation reforms Budget 2022 missed,https://deepakabbot.medium.com/here-are-esop-taxation-reforms-budget-2022-missed-17dfce2c0110?source=rss-8a2f53422ab5------2,"Thu, 17 Feb 2022 10:27:38 GMT",2022-02-17T10:27:38.000Z,Deepak Abbot,,startups-in-india; taxation; esop,,1141
